"Year","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"2019","NMC 532",11347.4296169464,233510.129744975,0.137228613389978,7.59569822003231,55.3506884052435
"2019","NMC 622",8679.36675703167,178606.091948079,0.104962754154631,5.80976069936918,55.3506884052435
"2020","NMC 721",3946.774,62517,0.0276164556386082,1.53098293704821,55.4373434840016
"2020","NMCA 89:4:4:3",7330.12,111062,0.0490608761798407,2.7198046444079,55.4373434840016
"2020","NMC 811",54236.9763334257,1043401.08029724,0.460915265404683,25.5519178852592,55.4373434840016
"2020","LFP",6541.94818,156518.14,0.0691408140177466,3.83298305546529,55.4373434840016
"2020","LMO",49.5294,3255,0.00143787390795575,0.0797119097220266,55.4373434840016
"2020","NCA",27659.118,356422,0.157446972049587,8.72844187002893,55.4373434840016
"2020","NMC 111",1336.43176973276,37032.8715943333,0.0163590168363034,0.906900435414716,55.4373434840016
"2020","NMC 532",13823.0105262706,279652.026592603,0.123534363239463,6.84841692698352,55.4373434840016
"2020","NMC 622",10572.8770385709,213898.881515824,0.0944883627258132,5.23818381967184,55.4373434840016
"2021","NMC 721",20486.549,278996,0.0578092867081283,3.17355775129695,54.897023160307
"2021","NMCA 89:4:4:3",20833.32,264574,0.0548209803062278,3.00950862554173,54.897023160307
"2021","NMC 811",100004.590884079,1940436.71795237,0.402067637410888,22.0723164029554,54.897023160307
"2021","LFP",44141.4826,970185.2,0.201026948009229,11.0357810207085,54.897023160307
"2021","LMO",4.8665,701,0.000145250505320499,0.00797382035462574,54.897023160307
"2021","NCA",34752.316,445386,0.0922860792620197,5.06623103062103,54.897023160307
"2021","NMC 111",135.234055476592,3297.86947210201,0.00068333410457042,0.03751300816483,54.897023160307
"2021","NMC 532",25261.0702724981,522738.518110442,0.108313885743268,5.94610989423101,54.897023160307
"2021","NMC 622",19321.5645279465,399829.694465088,0.0828465979503491,4.54803160643296,54.897023160307
"2022","NMC 721",31184.907,411444,0.0534965779633792,3.18573722370496,59.550299196441
"2022","NMCA 89:4:4:3",24923.84,311548,0.0405079473059149,2.4122603819009,59.550299196441
"2022","NMC 811",162042.0049576,2538386.28256524,0.330044865562321,19.6542704924853,59.550299196441
"2022","LFP",122676.42981,2697764,0.350767400066103,20.8883036222941,59.550299196441
"2022","LMO",0.8563,135,1.75529064102434e-05,0.00104528082849712,59.550299196441
"2022","NCA",42261.636,508717,0.0661441621503689,3.93890464615237,59.550299196441
"2022","NMC 111",117.753496096686,2068.20543376193,0.000268911232710963,0.0160137443652216,59.550299196441
"2022","NMC 532",42380.306002784,691817.50480723,0.0899511697396254,5.35661907106454,59.550299196441
"2022","NMC 622",32415.6422635188,529154.007193771,0.0688014130731669,4.09714473364501,59.550299196441
"2023","NMC 721",35030.764,468098,0.046713192446701,2.91392769069594,62.3791168634148
"2023","NMCA 89:4:4:3",34039.652,425496,0.0424617847828905,2.64872863520109,62.3791168634148
"2023","NMC 811",216487.599671591,3119394.15485931,0.31129562500386,19.4183461711855,62.3791168634148
"2023","LFP",191074.16079,3940240,0.393210800742983,24.5281424915035,62.3791168634148
"2023","LMO",0.6649,109,1.08775042334947e-05,0.000678529107763455,62.3791168634148
"2023","NCA",49948.909,604628,0.0603380149512793,3.76383208595232,62.3791168634148
"2023","NMC 111",161.661443334175,2710.0599143971,0.000270446680659439,0.0168702250981777,62.3791168634148
"2023","NMC 532",55719.4202639496,827257.269650816,0.0825549949799635,5.14970767951376,62.3791168634148
"2023","NMC 622",42618.3990811251,632748.51557548,0.0631442629074291,3.93888335515671,62.3791168634148
"2024","NMC 721",34568.6,456921,0.0404252337416015,2.55933757125531,63.3103963631879
"2024","NMCA 89:4:4:3",28823.298,360299,0.0318767824019147,2.01813172864831,63.3103963631879
"2024","NMC 811",230315.796612649,3075298.85678484,0.272081333777189,17.2255770844586,63.3103963631879
"2024","LFP",272336.98911,5428325,0.480260935589257,30.4055101899113,63.3103963631879
"2024","LMO",1.6424,116,1.02628837677099e-05,0.00064974723916304,63.3103963631879
"2024","NCA",41856.836,509940,0.0451159909353964,2.85631126843794,63.3103963631879
"2024","NMC 111",154.97594888171,2320.99063037778,0.000205345319530266,0.0130004935707866,63.3103963631879
"2024","NMC 532",60928.2698321278,832719.053982656,0.0736732660532874,4.66428367520422,63.3103963631879
"2024","NMC 622",46602.5185963419,636926.098602129,0.0563508492980567,3.56759460446224,63.3103963631879
