"Year","c","chemistry","MWh","chem_share_mwh"
"2015","Eastern Europe/Central Asia","NCA",3.485,0.414092205323194
"2015","Eastern Europe/Central Asia","NMC 111",0.000362078189319215,4.30225985407813e-05
"2015","Eastern Europe/Central Asia","NMC 532",0.165756437797061,0.0196953942249359
"2015","Eastern Europe/Central Asia","NMC 622",0.126782977691378,0.0150645173112378
"2015","Finland","NMC 811",0.343839117758256,0.0232133943031883
"2015","Finland","LMO",1.675,0.113083222500523
"2015","Finland","NCA",12.55,0.847280264108398
"2015","Finland","NMC 111",0.0563313640415505,0.00380306398427978
"2015","Finland","NMC 532",0.105916568556244,0.0071506787394255
"2015","Finland","NMC 622",0.0810129496439489,0.00546937636418529
"2015","France","NMC 811",210.961422273941,0.398808992034727
"2015","France","LFP",0.12,0.000226852277199872
"2015","France","LMO",122.6178,0.231801059626987
"2015","France","NCA",62.868,0.118847908025013
"2015","France","NMC 111",17.7213526887655,0.0335010767709044
"2015","France","NMC 532",64.984781518403,0.122849547256549
"2015","France","NMC 622",49.7052435188906,0.0939645640086207
"2015","Germany","NMC 811",86.4124038149181,0.197438971360191
"2015","Germany","LMO",30.7685,0.0703012614173718
"2015","Germany","NCA",148.05,0.338271340911708
"2015","Germany","NMC 111",125.457045574352,0.286649936057125
"2015","Germany","NMC 532",26.6185690343922,0.0608193113165466
"2015","Germany","NMC 622",20.3598815763377,0.0465191789370574
"2015","Greece","NMC 811",0.48435340881954,0.647531295213288
"2015","Greece","NMC 111",0.000325913941769883,0.000435713825895566
"2015","Greece","NMC 532",0.149200740640435,0.19946623080272
"2015","Greece","NMC 622",0.114119936598256,0.152566760158096
"2015","Hungary","NMC 811",1.36473695779153,0.230533785670624
"2015","Hungary","LMO",2.7425,0.463267960607443
"2015","Hungary","NCA",0.935,0.157941857125965
"2015","Hungary","NMC 111",0.135718310459457,0.0229257775400695
"2015","Hungary","NMC 532",0.420395028039813,0.071013873214043
"2015","Hungary","NMC 622",0.321549703709203,0.0543167458418559
"2015","India","LFP",3.75,1
"2015","Ireland","NMC 811",1.44101614436765,0.11401436393734
"2015","Ireland","LMO",10.2435,0.810474012770099
"2015","Ireland","NCA",0.17,0.013450537625901
"2015","Ireland","NMC 111",0.000969637548147992,7.67185077932409e-05
"2015","Ireland","NMC 532",0.443892150028374,0.0351211062694043
"2015","Ireland","NMC 622",0.339522068055826,0.0268632608894624
"2015","Israel","LMO",0.075,1
"2015","Italy","NMC 811",11.9872288432474,0.263123638382512
"2015","Italy","LMO",11.5054,0.252547335888352
"2015","Italy","NCA",13.63,0.299183008687941
