"Year","c","MWh","unit","kwh_veh_total"
"2019","Italy",513.214,11688,43.9094798083504
"2019","Japan",1280.8092,23648,54.1614174560216
"2019","Malaysia",2.1893,45,48.6511111111111
"2019","Mexico",61.4851,950,64.7211578947368
"2019","Morocco",0.3402,12,28.35
"2019","Netherlands",4003.5802,62891,63.6590322939689
"2019","New Zealand",122.5267,1905,64.3184776902887
"2019","Norway",3777.8515,62243,60.695202673393
"2019","Peru",0.56,20,28
"2019","Philippines",19.52,350,55.7714285714286
"2019","Poland",78.1529,1595,48.9986833855799
"2019","Portugal",389.0174,7106,54.7449197860963
"2019","Rest of EU",172.8911,3313,52.1856625415032
"2019","Rest of Middle East/Africa",16.1305,404,39.9269801980198
"2019","Rest of South America",32.2201,623,51.7176565008026
"2019","Rest of South Asia/Oceania",12.044,175,68.8228571428571
"2019","Romania",64.4161,1667,38.6419316136773
"2019","Russia",24.9875,363,68.83608815427
"2019","Singapore",50.616,1072,47.2164179104478
"2019","Slovakia",8.9055,171,52.078947368421
"2019","South Africa",8.55,156,54.8076923076923
"2019","South Korea",1754.3116,32659,53.7160231482899
"2019","Spain",552.9689,11955,46.2541948975324
"2019","Sweden",1004.3381,16974,59.1692058442324
"2019","Switzerland",850.1273,13618,62.4267366720517
"2019","Thailand",44.1844,919,48.0787812840044
"2019","Turkey",16.6126,229,72.5441048034934
"2019","United Arab Emirates",13.6002,169,80.4745562130177
"2019","United Kingdom",2428.2435,41191,58.9508266368867
"2019","United States",17464.8764,233890,74.6713258369319
"2019","Uruguay",1.123,37,30.3513513513514
"2019","Western Europe non EU",62.8992,1192,52.7677852348993
"2020","Algeria",0.1066,2,53.3
"2020","Argentina",1.1108,26,42.7230769230769
"2020","Australia",361.5179,5240,68.991965648855
"2020","Austria",960.9382,16655,57.696679675773
"2020","Belgium",976.3253,15469,63.1149589501584
"2020","Brazil",48.3965,694,69.735590778098
"2020","Canada",2441.8796,34806,70.1568580129863
"2020","Chile",7.8611,167,47.0724550898204
"2020","China",55088.682648,1103512,49.9212356983884
"2020","Colombia",37.1848,822,45.2369829683698
"2020","Czechia",186.5547,3309,56.3779691749773
"2020","Denmark",922.7086,15241,60.5412112066137
"2020","Eastern Europe/Central Asia",59.0015,906,65.1230684326711
"2020","Egypt",0.571,21,27.1904761904762
"2020","Finland",258.5035,4279,60.4121290021033
"2020","France",6086.8722,122552,49.6676692342842
"2020","Germany",10292.829,200398,51.3619347498478
"2020","Greece",35.6406,687,51.8786026200873
"2020","Hungary",158.3424,3106,50.9795235028976
"2020","India",147.5134,4099,35.987655525738
"2020","Indonesia",11.485,232,49.5043103448276
"2020","Ireland",260.874,4740,55.0367088607595
"2020","Israel",95.6505,1590,60.1575471698113
"2020","Italy",1582.5411,33536,47.1893219227099
"2020","Japan",885.2339,16418,53.918497990011
"2020","Malaysia",6.25,87,71.8390804597701
"2020","Mexico",137.1759,1906,71.9705666316894
"2020","Morocco",2.2034,48,45.9041666666667
"2020","Netherlands",4474.0799,74996,59.6575804042882
"2020","New Zealand",99.2912,1538,64.5586475942783
"2020","Norway",4795.7634,79461,60.3536753879262
"2020","Peru",1.092,26,42
"2020","Philippines",15.0868,267,56.5048689138577
"2020","Poland",203.5431,3746,54.3361185264282
"2020","Portugal",453.874,8111,55.9578350388362
"2020","Rest of EU",360.086,6607,54.5006810958075
"2020","Rest of Middle East/Africa",29.3407,468,62.6938034188034
"2020","Rest of South America",47.1432,890,52.9698876404494
"2020","Rest of South Asia/Oceania",16.3812,256,63.9890625
"2020","Romania",147.2016,2866,51.3613398464759
"2020","Russia",62.6573,780,80.3298717948718
"2020","Saudi Arabia",3.4449,50,68.898
"2020","Singapore",29.2567,502,58.2802788844622
"2020","Slovakia",46.7956,936,49.9952991452991
"2020","South Africa",4.759,90,52.8777777777778
"2020","South Korea",2735.4707,45501,60.1189138700248
"2020","Spain",1002.6102,19871,50.4559508831966
