"Year","c","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"2015","Colombia","LFP",0.3,5,0.0259067357512953,0.315646057612285,12.1839378238342
"2015","Colombia","LMO",1.2415,154,0.797927461139896,9.72189857445837,12.1839378238342
"2015","Colombia","NMC 111",0.0303398567841985,1.01437855625455,0.00525584744173344,0.0640369184416382,12.1839378238342
"2015","Colombia","NMC 532",0.155583660026122,6.58238561648977,0.0341056249559055,0.415540813905761,12.1839378238342
"2015","Colombia","NMC 622",0.119002072923315,5.03470308521716,0.0260865444829905,0.317836836019441,12.1839378238342
"2015","Czechia","NMC 811",2.63765397792181,115.908101843179,0.350175534269422,12.0472021042086,34.4033232628399
"2015","Czechia","LMO",1.1,44,0.132930513595166,4.57325143070983,34.4033232628399
"2015","Czechia","NCA",5.297,65,0.196374622356495,6.75593961354862,34.4033232628399
"2015","Czechia","NMC 111",0.918874836698403,43.0779927748353,0.130144993277448,4.47742027476417,34.4033232628399
"2015","Czechia","NMC 532",0.812505744551801,35.7044553136869,0.107868445056456,3.71103298513714,34.4033232628399
"2015","Czechia","NMC 622",0.621465440827988,27.3094500682992,0.0825058914450126,2.83847685447154,34.4033232628399
"2015","Denmark","NMC 811",22.6884605342013,997.845725923677,0.215099315784367,12.7984139259302,59.5000215563699
"2015","Denmark","LMO",6.0298,260,0.0560465617589998,3.3347716328209,59.5000215563699
"2015","Denmark","NCA",233.68,2776,0.598404828626859,35.605100202734,59.5000215563699
"2015","Denmark","NMC 111",1.28766671531726,62.6714350057051,0.0135096863560477,0.803826629404632,59.5000215563699
"2015","Denmark","NMC 532",6.98897758135803,307.377461666992,0.0662594226486294,3.94243707590607,59.5000215563699
"2015","Denmark","NMC 622",5.34569516912343,235.105377403626,0.0506801848250972,3.01547208957409,59.5000215563699
"2015","Eastern Europe/Central Asia","NMC 811",0.538098506322243,25.9012518085315,0.105719395136863,3.63156909988507,34.3510204081633
"2015","Eastern Europe/Central Asia","LMO",4.1,164,0.669387755102041,22.9941524364848,34.3510204081633
"2015","Eastern Europe/Central Asia","NCA",3.485,41,0.16734693877551,5.7485381091212,34.3510204081633
"2015","Eastern Europe/Central Asia","NMC 111",0.000362078189319215,0.0174285530358226,7.1136951166623e-05,0.00244362686129918,34.3510204081633
"2015","Eastern Europe/Central Asia","NMC 532",0.165756437797061,7.97864923210881,0.0325659152330972,1.11867241878264,34.3510204081633
"2015","Eastern Europe/Central Asia","NMC 622",0.126782977691378,6.10267040632383,0.0249088588013218,0.855644717028261,34.3510204081633
"2015","Finland","NMC 811",0.343839117758256,14.2456884946923,0.0586242324884459,3.57344853515271,60.9551440329218
"2015","Finland","LMO",1.675,67,0.275720164609054,16.8065623465258,60.9551440329218
"2015","Finland","NCA",12.55,151,0.621399176954732,37.8774763332148,60.9551440329218
"2015","Finland","NMC 111",0.0563313640415505,3.0095857041697,0.0123851263546078,0.754937160811056,60.9551440329218
"2015","Finland","NMC 532",0.105916568556244,4.38825707765985,0.0180586711014808,1.10076889803393,60.9551440329218
"2015","Finland","NMC 622",0.0810129496439489,3.35646872347811,0.0138126284916795,0.841950759183561,60.9551440329218
