"c","Year","capacity_scenario","kwh_veh"
"Rest of EU",2016,"Low Capacity",37.2246478873239
"Rest of EU",2016,"High Capacity",37.2246478873239
"Rest of South America",2016,"Baseline",16.8109090909091
"Rest of South America",2016,"Low Capacity",16.8109090909091
"Rest of South America",2016,"High Capacity",16.8109090909091
"Rest of South Asia/Oceania",2016,"Baseline",30.1171974522293
"Rest of South Asia/Oceania",2016,"Low Capacity",30.1171974522293
"Rest of South Asia/Oceania",2016,"High Capacity",30.1171974522293
"Romania",2016,"Baseline",33.6630136986301
"Romania",2016,"Low Capacity",33.6630136986301
"Romania",2016,"High Capacity",33.6630136986301
"Russia",2016,"Baseline",50.3123595505618
"Russia",2016,"Low Capacity",50.3123595505618
"Russia",2016,"High Capacity",50.3123595505618
"Singapore",2016,"Baseline",82
"Singapore",2016,"Low Capacity",82
"Singapore",2016,"High Capacity",82
"Slovakia",2016,"Baseline",25.8164179104478
"Slovakia",2016,"Low Capacity",25.8164179104478
"Slovakia",2016,"High Capacity",25.8164179104478
"South Africa",2016,"Baseline",26.21
"South Africa",2016,"Low Capacity",26.21
"South Africa",2016,"High Capacity",26.21
"South Korea",2016,"Baseline",27.0747530757234
"South Korea",2016,"Low Capacity",27.0747530757234
"South Korea",2016,"High Capacity",27.0747530757234
"Spain",2016,"Baseline",24.2553754548462
"Spain",2016,"Low Capacity",24.2553754548462
"Spain",2016,"High Capacity",24.2553754548462
"Sweden",2016,"Baseline",44.2306830907055
"Sweden",2016,"Low Capacity",44.2306830907055
"Sweden",2016,"High Capacity",44.2306830907055
"Switzerland",2016,"Baseline",52.4277716492002
"Switzerland",2016,"Low Capacity",52.4277716492002
"Switzerland",2016,"High Capacity",52.4277716492002
"Thailand",2016,"Baseline",32.2142857142857
"Thailand",2016,"Low Capacity",32.2142857142857
"Thailand",2016,"High Capacity",32.2142857142857
"Turkey",2016,"Baseline",21.5315789473684
"Turkey",2016,"Low Capacity",21.5315789473684
"Turkey",2016,"High Capacity",21.5315789473684
"United Arab Emirates",2016,"Baseline",6.1
"United Arab Emirates",2016,"Low Capacity",6.1
"United Arab Emirates",2016,"High Capacity",6.1
"United Kingdom",2016,"Baseline",36.8693805036305
"United Kingdom",2016,"Low Capacity",36.8693805036305
"United Kingdom",2016,"High Capacity",36.8693805036305
"United States",2016,"Baseline",59.7082197958699
"United States",2016,"Low Capacity",59.7082197958699
"United States",2016,"High Capacity",59.7082197958699
"Venezuela",2016,"Baseline",16.8109090909091
"Venezuela",2016,"Low Capacity",16.8109090909091
"Venezuela",2016,"High Capacity",16.8109090909091
"Western Europe non EU",2016,"Baseline",28.5349593495935
"Western Europe non EU",2016,"Low Capacity",28.5349593495935
"Western Europe non EU",2016,"High Capacity",28.5349593495935
"Australia",2017,"Baseline",82.4454609429979
"Australia",2017,"Low Capacity",82.4454609429979
"Australia",2017,"High Capacity",82.4454609429979
"Austria",2017,"Baseline",39.5806854130053
"Austria",2017,"Low Capacity",39.5806854130053
"Austria",2017,"High Capacity",39.5806854130053
"Belgium",2017,"Baseline",49.3467411545624
"Belgium",2017,"Low Capacity",49.3467411545624
"Belgium",2017,"High Capacity",49.3467411545624
"Brazil",2017,"Baseline",44.1092105263158
"Brazil",2017,"Low Capacity",44.1092105263158
"Brazil",2017,"High Capacity",44.1092105263158
"Canada",2017,"Baseline",57.2782743637492
"Canada",2017,"Low Capacity",57.2782743637492
"Canada",2017,"High Capacity",57.2782743637492
"Chile",2017,"Baseline",30.5333333333333
"Chile",2017,"Low Capacity",30.5333333333333
"Chile",2017,"High Capacity",30.5333333333333
"China",2017,"Baseline",32.715365117795
"China",2017,"Low Capacity",32.715365117795
"China",2017,"High Capacity",32.715365117795
"Colombia",2017,"Baseline",30.275
"Colombia",2017,"Low Capacity",30.275
"Colombia",2017,"High Capacity",30.275
"Czechia",2017,"Baseline",41.2672456575682
"Czechia",2017,"Low Capacity",41.2672456575682
"Czechia",2017,"High Capacity",41.2672456575682
"Denmark",2017,"Baseline",37.6609725685786
"Denmark",2017,"Low Capacity",37.6609725685786
"Denmark",2017,"High Capacity",37.6609725685786
"Eastern Europe/Central Asia",2017,"Baseline",33.6905296950241
"Eastern Europe/Central Asia",2017,"Low Capacity",33.6905296950241
"Eastern Europe/Central Asia",2017,"High Capacity",33.6905296950241
"Finland",2017,"Baseline",54.6920494699647
"Finland",2017,"Low Capacity",54.6920494699647
"Finland",2017,"High Capacity",54.6920494699647
"France",2017,"Baseline",32.1297789539228
"France",2017,"Low Capacity",32.1297789539228
"France",2017,"High Capacity",32.1297789539228
"Germany",2017,"Baseline",33.6927163109011
"Germany",2017,"Low Capacity",33.6927163109011
"Germany",2017,"High Capacity",33.6927163109011
"Greece",2017,"Baseline",31.6976744186047
"Greece",2017,"Low Capacity",31.6976744186047
"Greece",2017,"High Capacity",31.6976744186047
"Hungary",2017,"Baseline",27.6945978391357
"Hungary",2017,"Low Capacity",27.6945978391357
"Hungary",2017,"High Capacity",27.6945978391357
"India",2017,"Baseline",10.7371794871795
"India",2017,"Low Capacity",10.7371794871795
"India",2017,"High Capacity",10.7371794871795
"Indonesia",2017,"Baseline",85
"Indonesia",2017,"Low Capacity",85
"Indonesia",2017,"High Capacity",85
"Iran",2017,"Baseline",79.8385093167702
"Iran",2017,"Low Capacity",79.8385093167702
"Iran",2017,"High Capacity",79.8385093167702
"Ireland",2017,"Baseline",34.05671875
"Ireland",2017,"Low Capacity",34.05671875
"Ireland",2017,"High Capacity",34.05671875
"Israel",2017,"Baseline",33.3333333333333
"Israel",2017,"Low Capacity",33.3333333333333
"Israel",2017,"High Capacity",33.3333333333333
"Italy",2017,"Baseline",36.4987969376595
"Italy",2017,"Low Capacity",36.4987969376595
"Italy",2017,"High Capacity",36.4987969376595
"Japan",2017,"Baseline",34.6051610196161
"Japan",2017,"Low Capacity",34.6051610196161
"Japan",2017,"High Capacity",34.6051610196161
"Malaysia",2017,"Baseline",59.2986206896552
"Malaysia",2017,"Low Capacity",59.2986206896552
"Malaysia",2017,"High Capacity",59.2986206896552
"Mexico",2017,"Baseline",56.0217630853995
"Mexico",2017,"Low Capacity",56.0217630853995
"Mexico",2017,"High Capacity",56.0217630853995
"Morocco",2017,"Baseline",20.05
"Morocco",2017,"Low Capacity",20.05
"Morocco",2017,"High Capacity",20.05
