"c","chemistry","share_units","bench_Region","year"
"Argentina","NMC 622",0.0334843310156385,"South America",2046
"Argentina","NMC 622",0.0312854564963179,"South America",2047
"Argentina","NMC 622",0.0292231981515835,"South America",2048
"Argentina","NMC 622",0.0272896830485785,"South America",2049
"Argentina","NMC 622",0.0254774371113141,"South America",2050
"Australia","NMC 721",0.00953288846520496,"Rest of the World",2024
"Australia","NMC 721",0.00876919244328385,"Rest of the World",2025
"Australia","NMC 721",0.0079210349382209,"Rest of the World",2026
"Australia","NMC 721",0.00711602624121108,"Rest of the World",2027
"Australia","NMC 721",0.00677329665189238,"Rest of the World",2028
"Australia","NMC 721",0.0065434797856281,"Rest of the World",2029
"Australia","NMC 721",0.00621476227273811,"Rest of the World",2030
"Australia","NMC 721",0.00595906541549354,"Rest of the World",2031
"Australia","NMC 721",0.00569970670384356,"Rest of the World",2032
"Australia","NMC 721",0.00543594114844069,"Rest of the World",2033
"Australia","NMC 721",0.00521468857762424,"Rest of the World",2034
"Australia","NMC 721",0.00501937209238373,"Rest of the World",2035
"Australia","NMC 721",0.00486001247717392,"Rest of the World",2036
"Australia","NMC 721",0.00472916378189438,"Rest of the World",2037
"Australia","NMC 721",0.00466206507358197,"Rest of the World",2038
"Australia","NMC 721",0.00466808363594077,"Rest of the World",2039
"Australia","NMC 721",0.00450428311076111,"Rest of the World",2040
"Australia","NMC 721",0.00443029006311486,"Rest of the World",2041
"Australia","NMC 721",0.00436349401567012,"Rest of the World",2042
"Australia","NMC 721",0.00430318147312218,"Rest of the World",2043
"Australia","NMC 721",0.00424873512690804,"Rest of the World",2044
"Australia","NMC 721",0.00419961826725575,"Rest of the World",2045
"Australia","NMC 721",0.00415536213226919,"Rest of the World",2046
"Australia","NMC 721",0.00411555556805582,"Rest of the World",2047
"Australia","NMC 721",0.00407983652187997,"Rest of the World",2048
"Australia","NMC 721",0.00404788500007737,"Rest of the World",2049
"Australia","NMC 721",0.00401941720466103,"Rest of the World",2050
"Australia","NMCA 89:4:4:3",0.199412686411799,"Rest of the World",2024
"Australia","NMCA 89:4:4:3",0.183437394569337,"Rest of the World",2025
"Australia","NMCA 89:4:4:3",0.165695304414577,"Rest of the World",2026
"Australia","NMCA 89:4:4:3",0.148855817889426,"Rest of the World",2027
"Australia","NMCA 89:4:4:3",0.141686466399758,"Rest of the World",2028
"Australia","NMCA 89:4:4:3",0.136879067377754,"Rest of the World",2029
"Australia","NMCA 89:4:4:3",0.130002825978806,"Rest of the World",2030
"Australia","NMCA 89:4:4:3",0.124654059191456,"Rest of the World",2031
"Australia","NMCA 89:4:4:3",0.119228692302585,"Rest of the World",2032
"Australia","NMCA 89:4:4:3",0.113711141333876,"Rest of the World",2033
"Australia","NMCA 89:4:4:3",0.109082893591016,"Rest of the World",2034
"Australia","NMCA 89:4:4:3",0.104997187022174,"Rest of the World",2035
"Australia","NMCA 89:4:4:3",0.101663640312745,"Rest of the World",2036
"Australia","NMCA 89:4:4:3",0.098926496168616,"Rest of the World",2037
"Australia","NMCA 89:4:4:3",0.0975228991656532,"Rest of the World",2038
"Australia","NMCA 89:4:4:3",0.0976487978051565,"Rest of the World",2039
"Australia","NMCA 89:4:4:3",0.09422235440545,"Rest of the World",2040
"Australia","NMCA 89:4:4:3",0.0926745389179625,"Rest of the World",2041
"Australia","NMCA 89:4:4:3",0.091277273093311,"Rest of the World",2042
"Australia","NMCA 89:4:4:3",0.0900156317578743,"Rest of the World",2043
"Australia","NMCA 89:4:4:3",0.0888767018098844,"Rest of the World",2044
"Australia","NMCA 89:4:4:3",0.0878492561445832,"Rest of the World",2045
"Australia","NMCA 89:4:4:3",0.0869234890174334,"Rest of the World",2046
"Australia","NMCA 89:4:4:3",0.0860907997506298,"Rest of the World",2047
"Australia","NMCA 89:4:4:3",0.0853436147835559,"Rest of the World",2048
"Australia","NMCA 89:4:4:3",0.0846752403636874,"Rest of the World",2049
"Australia","NMCA 89:4:4:3",0.0840797398938232,"Rest of the World",2050
"Australia","NMC 811",0.236805384875778,"Rest of the World",2024
"Australia","NMC 811",0.21783449991691,"Rest of the World",2025
"Australia","NMC 811",0.196765516979072,"Rest of the World",2026
"Australia","NMC 811",0.17676838861451,"Rest of the World",2027
"Australia","NMC 811",0.168254682343512,"Rest of the World",2028
"Australia","NMC 811",0.16254582802666,"Rest of the World",2029
"Australia","NMC 811",0.154380194133067,"Rest of the World",2030
"Australia","NMC 811",0.148028457939746,"Rest of the World",2031
"Australia","NMC 811",0.141585758042718,"Rest of the World",2032
"Australia","NMC 811",0.135033588247369,"Rest of the World",2033
"Australia","NMC 811",0.129537478607758,"Rest of the World",2034
"Australia","NMC 811",0.124685644284008,"Rest of the World",2035
"Australia","NMC 811",0.120727010429101,"Rest of the World",2036
"Australia","NMC 811",0.117476613053818,"Rest of the World",2037
"Australia","NMC 811",0.115809821765471,"Rest of the World",2038
"Australia","NMC 811",0.11595932818013,"Rest of the World",2039
"Australia","NMC 811",0.111890378191928,"Rest of the World",2040
"Australia","NMC 811",0.11005232541391,"Rest of the World",2041
"Australia","NMC 811",0.108393052489333,"Rest of the World",2042
"Australia","NMC 811",0.106894835563473,"Rest of the World",2043
"Australia","NMC 811",0.105542340145387,"Rest of the World",2044
"Australia","NMC 811",0.104322233889418,"Rest of the World",2045
"Australia","NMC 811",0.103222872335272,"Rest of the World",2046
"Australia","NMC 811",0.102234042056439,"Rest of the World",2047
"Australia","NMC 811",0.101346749342595,"Rest of the World",2048
"Australia","NMC 811",0.100553045267964,"Rest of the World",2049
"Australia","NMC 811",0.0998458800394258,"Rest of the World",2050
