"","Algeria","Argentina","Australia","Austria","Belgium","Bolivia","Brazil","Canada","Chile","China","Colombia","Czechia","Denmark","Eastern Europe/Central Asia","Egypt","Ethiopia","Finland","France","Germany","Greece","Hungary","India","Indonesia","Iran","Ireland","Israel","Italy","Japan","Kenya","Malaysia","Mexico","Morocco","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Peru","Philippines","Poland","Portugal","Rest of EU","Rest of Middle East/Africa","Rest of South America","Rest of South Asia/Oceania","Romania","Russia","Saudi Arabia","Singapore","Slovakia","South Africa","South Korea","Spain","Sweden","Switzerland","Thailand","Turkey","United Arab Emirates","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Western Europe non EU"
"Colombia",1.12438458060112e-06,0.00115248026714845,1.82514807069199e-06,1.03743730779424e-07,2.3859239530134e-06,0.0163954114816201,9.68205165942657e-07,5.2843993545405e-06,3.43439378137367e-06,4.04739351291822e-09,0.14823131612203,4.28185170539876e-07,4.52996932546765e-07,7.18615032250258e-08,7.01671904714463e-07,0.000188301486186684,5.44189875784481e-07,3.07345996727877e-06,5.58377055945539e-06,6.48722947947064e-06,2.26628732384742e-07,1.96443232733328e-08,3.81299300792539e-08,1.00292459687254e-07,6.41424498550956e-07,3.0030669531792e-07,3.70883926354666e-08,1.43149423774098e-08,1.46622114339028e-06,3.36582281649012e-08,0.00359925970462976,3.08473162694748e-07,1.72775722530239e-05,4.05209386812109e-07,6.0756059023346e-07,8.49038243630861e-07,3.20430407941669e-07,0.00207342688444,1.80225506974487e-06,9.00712814761455e-09,0,1.22255541903331e-06,7.54154575794488e-08,0.0107247620277946,3.43416772849974e-07,0,3.03165557447854e-08,1.21585395013284e-07,3.11973517160043e-06,2.92309902557332e-08,7.16371894541916e-08,1.64329202234327e-07,3.0211715618662e-06,1.94898577183406e-06,3.23577958420132e-07,1.63369060842129e-07,4.32199508312341e-07,9.71015357272015e-07,2.51554294707413e-08,6.33945011288467e-06,4.42524898885165e-05,0.00525128565358351,1.47587583077091e-07,4.58846045031222e-06
"Czechia",0.00208591076132327,4.18792628692387e-08,0.00954227667816745,0.113245788914419,0.0456439456139097,3.7487304888342e-06,7.41607477643018e-07,1.54546416953489e-06,0.00374178248154308,5.59886353007238e-06,0.00901195677767232,0.0540383014518269,0.0773053151955427,0.0188767059787649,0.0531369399997005,2.01924254452751e-05,0.107464731174907,0.0946832287526166,0.149406713123033,0.0554298019255404,0.179337163319341,2.19081220652423e-05,4.08884595629567e-08,1.07548169479151e-07,0.136499602570182,0.0771235725934997,0.0551662550090848,1.22804514212994e-06,1.57229566923555e-06,3.60932500642095e-08,0.00558616363898047,0.0426421147886983,0.0405158808125425,0.015912286061025,6.51514874907239e-07,0.0971554377793635,3.43612111289794e-07,0.000814589978473918,1.93264014353626e-06,0.112284438388833,0.0130412844298626,0.0621126443326351,0.0143077730074698,0.00347535471010346,0.00121894535527392,0.036646864500531,1.26788308245538e-05,0.0116000467889186,0.00909958054465518,0.0254439595853265,6.99060352191341e-05,1.58595914913685e-05,0.0604085781126035,0.0689198019990352,0.111407235827652,1.75188079920348e-08,0.0243704960378696,0.00316023613308489,0.0316199212286803,9.48521360572908e-07,0.00130498387589909,1.00557011182268e-05,0.000473212000158305,0.0572736304986207
"Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eastern Europe/Central Asia",9.46437340300405e-06,3.28731463946748e-07,0.000122903733507739,0.00010768925265971,0.00289072402908461,2.94256769844307e-05,1.51352532793536e-05,0.000105136442773464,2.89086009543975e-05,3.59047428763542e-05,5.03125146685714e-06,0.000915105800614062,0.000114391433162822,0.0537509670417146,0.00173082356092194,0.000158500535169078,4.58065351963931e-05,6.17528441769464e-05,0.00125317669399488,0.000709871267937694,0.000317447108357288,1.65353753436165e-07,3.20954148897667e-07,0.000135071975103527,1.66292723077863e-05,0.000101111834827598,0.000479828499105556,7.22965943715771e-06,1.23417419909886e-05,2.83314130175839e-07,3.20460548381667e-07,0.0011424759007231,0.000481096832442475,3.41080179269427e-05,0.000110463889692837,0.000374843280945437,2.69718482693486e-05,5.24108830554758e-06,1.51702675773118e-05,8.41592691965374e-05,0,0.00908022826728771,0.000367117905877189,3.65237787116401e-06,2.8906698181232e-06,0,0.0972811623480379,1.17182802967014e-05,2.62599995516889e-05,5.16701602045311e-05,6.02997517249602e-07,1.38322150427566e-06,2.54303520960345e-05,3.99339170904911e-05,0.00484379065983552,1.37513962836574e-07,0.00163450795842555,0.00877035093995319,2.54091400823101e-05,1.16409739923862e-05,1.86245033747114e-05,7.89322715618694e-05,1.24230091730865e-06,0.000386228198037489
"Egypt",2.69905156500189e-06,9.37476930009131e-08,2.19060668455972e-07,2.49033723647863e-07,4.58187128529527e-08,8.39161940618896e-06,3.32021078586492e-08,1.15318569448754e-07,8.24415957882811e-07,1.63854388422771e-06,1.43481312151405e-06,1.02784569852282e-06,1.08740559131266e-06,1.72501389728415e-07,0.223890378500396,4.5201208710336e-05,1.30631152475342e-06,1.22962479175637e-07,4.9799805154282e-07,1.84688668600388e-05,5.44015495561502e-07,4.71556106238539e-08,9.15297570149905e-08,2.40749050589125e-07,1.53972032924797e-06,7.20877242504556e-07,1.65595014195869e-07,1.00331893608865e-05,3.51962001256779e-06,8.07955702799651e-08,9.13889919385856e-08,1.10331609884757e-06,2.30412753160519e-07,9.72693016693605e-07,1.45843102991184e-06,1.22285454981596e-06,7.69183612929643e-07,1.4946544257131e-06,4.32625940487983e-07,2.16213417921425e-08,0,2.93470772720778e-07,0.000155383859078027,3.39278736976389e-07,8.24361694566351e-07,0,7.27739855563333e-08,1.30637478264954e-05,7.48883099481661e-06,7.01681180598475e-08,1.71962931228834e-07,3.94467336281817e-08,7.25223199684461e-08,9.35696413556787e-08,7.76739213736867e-07,3.92162545579466e-08,1.0374819963111e-07,0.000467036434818129,6.03848562606579e-08,1.1757304952005e-08,5.31133893818498e-06,2.25099181970776e-05,3.54279580093586e-07,1.10144621093464e-05
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",1.7776133379304e-06,6.17428550234129e-09,5.33816816661353e-06,0.000108718552157861,7.76795536140774e-06,5.52677643387915e-07,2.18671293806487e-08,0.000407393535996566,5.42965840941289e-08,5.8228988044274e-07,9.4497747850147e-08,7.93335895999076e-05,0.000382436149805523,0.000170870288605837,1.99677445310422e-05,0.000387007622591369,0.189128808092484,1.86185565514124e-05,0.00229906654803968,1.23073039398215e-05,4.40437274294549e-05,3.10569992400855e-09,6.02821076103678e-09,1.58558928243748e-08,1.01407006425676e-07,4.74774553366374e-08,2.09599471525459e-05,5.4994378299183e-06,2.31804518295037e-07,5.32125007308847e-08,6.0189398793472e-09,4.87685457325109e-08,1.42749172369927e-05,5.76559889535342e-06,0.000199790737178441,0.00434234131638643,5.06589450676268e-08,9.84389360024114e-08,2.84930325940469e-08,0.000151469388559276,2.59681873401914e-08,0.00170532537077653,0.000118513868331808,2.23451235962211e-08,2.17172041103857e-06,6.03733373646528e-05,1.56249947027669e-05,1.92222326419311e-08,9.864387946129e-06,4.34403985190025e-06,5.66279659391706e-07,3.84502246277341e-06,5.00573235001457e-07,0.00263880768754751,2.04626247877003e-05,2.58280864544472e-08,4.57806010504161e-06,4.60542561736086e-07,9.55033622898458e-07,1.87846237643182e-07,3.49808320123004e-07,1.48251820534667e-06,2.33330891153352e-08,0.000725419810780441
"France",0.311464669156576,0.000509519559648375,0.00321825050916966,0.0213162251860774,0.150682580245214,0.010635350929982,6.20950044579424e-05,3.94134654938509e-05,0.0279251822220097,1.54107430065856e-05,0.00482876821709112,0.141616999020815,0.0256532701825103,0.0220229290194132,0.0492979310616474,0.00343292895443256,0.0213451968953792,0.209312335280245,0.0864410368664156,0.106996339133824,0.0592135533068838,8.95564168302976e-07,8.68934598249715e-06,1.14277141322685e-07,0.0887269014768803,0.0237713255079562,0.102979426059315,0.00158787622188996,0.000517907567669236,3.37493184993763e-05,0.00130574100539972,0.0183686804886849,0.0604241097238469,0.00315348875238219,0.000657664327570334,0.0244081907463392,2.92088726323974e-05,0.000943598448432943,3.49105155571918e-05,0.0672504009320605,0.180969479256452,0.10953234954642,0.0152701492778244,0.00350276247696201,0.0111677724612337,0.0375814557283948,1.38175465476362e-06,0.0028719164249385,0.00963336698829043,0.00215362647208007,0.000569750935177373,0.00029097578373283,0.079915246386554,0.0298513061774158,0.0486606762156413,1.86149081514479e-08,0.0442469951231408,0.00346247564721621,0.0313379161537065,4.58957457779167e-05,0.00201692053685403,1.06848566865572e-05,1.68167050059075e-07,0.0656670818604972
"Germany",0.104613277858928,0.00084191414364498,0.0521623712123718,0.354421532905585,0.180539725447073,0.00596084411120731,0.00196900384746262,0.030273821868871,0.0152790934399779,0.0112615156359871,0.0186830373761812,0.293772411804013,0.345046062334247,0.064827344508572,0.134607718366114,0.0537911735192366,0.213418497376406,0.232034875780926,0.076421430844047,0.149582861295554,0.173775829927002,0.000704942458471228,0.000960050403708212,0.000188779472967572,0.190306261509893,0.043605147465755,0.18919427958424,0.0155495674170488,0.000194813159245946,0.00210486139822636,0.00899853896938569,0.0524109273742017,0.353799894799211,0.0257844730248896,0.0323909325808735,0.352981242379928,0.000713127764671863,0.00953463862378779,0.00293539462010372,0.146727354685874,0.0883806732031308,0.144599511322476,0.0534856663789707,0.0109514555721582,0.021365747922603,0.0522607496748328,0.00168373970325405,0.0128430256560197,0.167324458791865,0.00807419847089751,0.0159867029963947,0.0216840857977858,0.148160630242901,0.220100478981038,0.409382920465877,0.000920714875996511,0.0614354728373622,0.0214651030850368,0.117101367411738,0.00612746545502654,0.015336265358881,0.000207656331397603,0.00187108222357944,0.212719605517939
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
